description,category
"impossible d'utiliser la machine, le connexion boucle à l'infini.",Software
le client signale que le circuit d'huile est percé.,Hydraulique
"gros souci avec le raccord, il vibre énormément.",Hydraulique
le fusible ne s'allume plus.,Electronique
"gros souci avec le driver, il affiche un écran bleu.",Software
"Impossible d'utiliser la machine, le obturateur est sale.",Optique
"impossible d'utiliser la machine, le licence ne démarre pas.",Software
"attention, diaphragme qui est rayé !",Optique
"Attention, circuit d'huile qui n'aspire plus !",Hydraulique
Défaut sur disjoncteur : il ne répond plus.,Electronique
panne critique : logiciel boucle à l'infini.,Software
"Impossible d'utiliser la machine, le licence est lent.",Software
Le filtre est percé.,Hydraulique
le client signale que le prisme est bloqué.,Optique
le client signale que le driver a planté.,Software
"J'ai un problème, le prisme est cassé complètement.",Optique
il semble que le piston est bouché depuis ce matin.,Hydraulique
il semble que le capteur est cassé depuis ce matin.,Optique
"J'ai un problème, le résistance a explosé complètement.",Electronique
le client signale que le condensateur fait des étincelles.,Electronique
Panne critique : driver est figé.,Software
"impossible d'utiliser la machine, le connexion demande un mot de passe.",Software
"Impossible d'utiliser la machine, le valve siffle fort.",Hydraulique
Le image est déformé.,Optique
Erreur détectée : viseur est sale.,Optique
"gros souci avec le condensateur, il fume.",Electronique
"J'ai un problème, le objectif est désaligné complètement.",Optique
Il semble que le LED ne répond plus depuis ce matin.,Electronique
Le raccord siffle fort.,Hydraulique
erreur détectée : vérin siffle fort.,Hydraulique
Le raccord est percé.,Hydraulique
"j'ai un problème, le réservoir siffle fort complètement.",Hydraulique
le client signale que le valve n'aspire plus.,Hydraulique
Erreur détectée : vérin n'aspire plus.,Hydraulique
panne critique : vanne perd de la pression.,Hydraulique
Défaut sur pompe : il est sec.,Hydraulique
Défaut sur disjoncteur : il a fondu.,Electronique
Il semble que le transformateur ne charge pas depuis ce matin.,Electronique
"J'ai un problème, le tuyau fuit complètement.",Hydraulique
Défaut sur tuyau : il refoule du liquide.,Hydraulique
panne critique : batterie fait des étincelles.,Electronique
"Gros souci avec le logiciel, il affiche un écran bleu.",Software
"j'ai un problème, le capteur est bloqué complètement.",Optique
"Gros souci avec le transformateur, il est brûlant.",Electronique
Panne critique : système demande un mot de passe.,Software
Le client signale que le circuit imprimé a grillé.,Electronique
défaut sur batterie : il est en court-circuit.,Electronique
"attention, led qui fume !",Electronique
Le objectif ne fait plus le point.,Optique
"Gros souci avec le piston, il fuit.",Hydraulique
il semble que le vanne perd de la pression depuis ce matin.,Hydraulique
"Attention, base de données qui a expiré !",Software
Erreur détectée : joint a éclaté.,Hydraulique
Le alimentation est en court-circuit.,Electronique
le client signale que le bouton power clignote en rouge.,Electronique
Panne critique : piston a éclaté.,Hydraulique
"impossible d'utiliser la machine, le mise à jour a planté.",Software
il semble que le carte mère sent le brûlé depuis ce matin.,Electronique
Défaut sur raccord : il n'aspire plus.,Hydraulique
Il semble que le objectif est bloqué depuis ce matin.,Optique
Il semble que le valve est sec depuis ce matin.,Hydraulique
Il semble que le prisme est désaligné depuis ce matin.,Optique
Il semble que le connexion affiche un écran bleu depuis ce matin.,Software
Il semble que le linux a crashé depuis ce matin.,Software
"Impossible d'utiliser la machine, le manomètre fait un bruit de gargouillis.",Hydraulique
Il semble que le mise au point est flou depuis ce matin.,Optique
"Attention, application qui ne répond pas !",Software
Défaut sur lentille : il a des taches.,Optique
panne critique : pompe refoule du liquide.,Hydraulique
il semble que le vérin est bouché depuis ce matin.,Hydraulique
"J'ai un problème, le licence est corrompu complètement.",Software
"j'ai un problème, le alimentation sent le brûlé complètement.",Electronique
"Impossible d'utiliser la machine, le résistance ne répond plus.",Electronique
"Attention, réservoir qui vibre énormément !",Hydraulique
le client signale que le connecteur de charge a fondu.,Electronique
Il semble que le pompe fuit depuis ce matin.,Hydraulique
il semble que le objectif est voilé depuis ce matin.,Optique
Il semble que le pompe est grippé depuis ce matin.,Hydraulique
"j'ai un problème, le obturateur est cassé complètement.",Optique
panne critique : condensateur est brûlant.,Electronique
erreur détectée : valve siffle fort.,Hydraulique
"impossible d'utiliser la machine, le vérin est bouché.",Hydraulique
panne critique : écran fait des étincelles.,Electronique
Panne critique : lentille est déformé.,Optique
Défaut sur focus : il est flou.,Optique
"Attention, vérin qui a éclaté !",Hydraulique
"Impossible d'utiliser la machine, le viseur est rayé.",Optique
erreur détectée : circuit d'huile est percé.,Hydraulique
"Gros souci avec le linux, il est corrompu.",Software
Il semble que le fusible clignote en rouge depuis ce matin.,Electronique
"attention, circuit d'huile qui vibre énormément !",Hydraulique
Il semble que le vérin est percé depuis ce matin.,Hydraulique
Il semble que le mise au point est désaligné depuis ce matin.,Optique
"gros souci avec le obturateur, il est cassé.",Optique
"gros souci avec le zoom, il a des taches.",Optique
Il semble que le joint perd de la pression depuis ce matin.,Hydraulique
le client signale que le fusible ne s'allume plus.,Electronique
"Attention, focus qui a des taches !",Optique
le base de données demande un mot de passe.,Software
"J'ai un problème, le circuit d'huile est percé complètement.",Hydraulique
défaut sur vérin : il a éclaté.,Hydraulique
le client signale que le connecteur de charge est brûlant.,Electronique
"attention, bouton power qui ne répond plus !",Electronique
"J'ai un problème, le linux est corrompu complètement.",Software
"impossible d'utiliser la machine, le transformateur surchauffe.",Electronique
le tuyau fuit.,Hydraulique
"Gros souci avec le valve, il fait un bruit de gargouillis.",Hydraulique
Il semble que le zoom est rayé depuis ce matin.,Optique
"J'ai un problème, le connecteur de charge sent le brûlé complètement.",Electronique
"attention, transformateur qui clignote en rouge !",Electronique
Défaut sur pompe : il perd de la pression.,Hydraulique
Panne critique : tuyau fait un bruit de gargouillis.,Hydraulique
Le raccord fuit.,Hydraulique
"j'ai un problème, le logiciel est lent complètement.",Software
Défaut sur joint : il vibre énormément.,Hydraulique
Le client signale que le réservoir n'aspire plus.,Hydraulique
il semble que le résistance a grillé depuis ce matin.,Electronique
"Gros souci avec le écran, il fume.",Electronique
le base de données est corrompu.,Software
Il semble que le windows a crashé depuis ce matin.,Software
"gros souci avec le windows, il a crashé.",Software
défaut sur joint : il refoule du liquide.,Hydraulique
Panne critique : mise à jour boucle à l'infini.,Software
"Gros souci avec le interface, il boucle à l'infini.",Software
"Gros souci avec le linux, il boucle à l'infini.",Software
"j'ai un problème, le image est déformé complètement.",Optique
Défaut sur linux : il demande un mot de passe.,Software
défaut sur bouton power : il a fondu.,Electronique
Défaut sur réservoir : il est sec.,Hydraulique
erreur détectée : transformateur fume.,Electronique
défaut sur image : il est voilé.,Optique
Erreur détectée : système est figé.,Software
le client signale que le diaphragme est désaligné.,Optique
"attention, système qui est figé !",Software
le client signale que le linux boucle à l'infini.,Software
"J'ai un problème, le piston est sec complètement.",Hydraulique
le serveur est figé.,Software
il semble que le prisme est déformé depuis ce matin.,Optique
Erreur détectée : joint est sec.,Hydraulique
"J'ai un problème, le valve est sec complètement.",Hydraulique
Erreur détectée : valve refoule du liquide.,Hydraulique
Erreur détectée : mise au point est sale.,Optique
panne critique : écran a grillé.,Electronique
Erreur détectée : licence ne répond pas.,Software
erreur détectée : pompe refoule du liquide.,Hydraulique
"attention, windows qui est corrompu !",Software
erreur détectée : lentille est désaligné.,Optique
"Impossible d'utiliser la machine, le condensateur a explosé.",Electronique
"Impossible d'utiliser la machine, le zoom est déformé.",Optique
"Impossible d'utiliser la machine, le écran ne répond plus.",Electronique
"gros souci avec le mise au point, il est désaligné.",Optique
"J'ai un problème, le LED est brûlant complètement.",Electronique
"Impossible d'utiliser la machine, le focus est flou.",Optique
"Attention, vanne qui siffle fort !",Hydraulique
Défaut sur mise à jour : il est corrompu.,Software
"Impossible d'utiliser la machine, le piston vibre énormément.",Hydraulique
"Attention, capteur qui a de la poussière interne !",Optique
Erreur détectée : objectif manque de netteté.,Optique
Le client signale que le bouton power a fondu.,Electronique
défaut sur capteur : il est désaligné.,Optique
il semble que le disjoncteur ne charge pas depuis ce matin.,Electronique
"attention, écran qui clignote en rouge !",Electronique
"J'ai un problème, le LED surchauffe complètement.",Electronique
"j'ai un problème, le base de données ne démarre pas complètement.",Software
Défaut sur lentille : il est bloqué.,Optique
"impossible d'utiliser la machine, le serveur est figé.",Software
panne critique : zoom manque de netteté.,Optique
défaut sur lentille : il est déformé.,Optique
Le capteur est sale.,Optique
Défaut sur transformateur : il est brûlant.,Electronique
"attention, disjoncteur qui ne répond plus !",Electronique
Erreur détectée : circuit imprimé a fondu.,Electronique
Le carte mère fait des étincelles.,Electronique
erreur détectée : joint siffle fort.,Hydraulique
Le client signale que le vérin est sec.,Hydraulique
"Gros souci avec le câble USB, il surchauffe.",Electronique
Défaut sur joint : il fait un bruit de gargouillis.,Hydraulique
erreur détectée : viseur est déformé.,Optique
Défaut sur obturateur : il est flou.,Optique
défaut sur led : il ne charge pas.,Electronique
Le client signale que le manomètre a éclaté.,Hydraulique
"Attention, diaphragme qui est déformé !",Optique
Le client signale que le valve vibre énormément.,Hydraulique
Erreur détectée : licence affiche un écran bleu.,Software
il semble que le transformateur est noirci depuis ce matin.,Electronique
"Impossible d'utiliser la machine, le raccord est percé.",Hydraulique
"J'ai un problème, le focus est sale complètement.",Optique
"Impossible d'utiliser la machine, le manomètre refoule du liquide.",Hydraulique
Défaut sur fusible : il a explosé.,Electronique
Erreur détectée : capteur est voilé.,Optique
"J'ai un problème, le mise au point a des taches complètement.",Optique
il semble que le image manque de netteté depuis ce matin.,Optique
erreur détectée : diaphragme est flou.,Optique
Le logiciel a expiré.,Software
Le driver a crashé.,Software
Le viseur est flou.,Optique
"J'ai un problème, le valve fuit complètement.",Hydraulique
erreur détectée : windows est corrompu.,Software
"J'ai un problème, le transformateur a grillé complètement.",Electronique
"Gros souci avec le valve, il est percé.",Hydraulique
Erreur détectée : valve refoule du liquide.,Hydraulique
défaut sur connecteur de charge : il clignote en rouge.,Electronique
Défaut sur interface : il a planté.,Software
Il semble que le zoom est désaligné depuis ce matin.,Optique
défaut sur pompe : il est bouché.,Hydraulique
Il semble que le interface boucle à l'infini depuis ce matin.,Software
"attention, batterie qui fait des étincelles !",Electronique
"j'ai un problème, le raccord n'aspire plus complètement.",Hydraulique
"impossible d'utiliser la machine, le système ne répond pas.",Software
Il semble que le linux boucle à l'infini depuis ce matin.,Software
le client signale que le connecteur de charge ne répond plus.,Electronique
"Gros souci avec le vérin, il n'aspire plus.",Hydraulique
"J'ai un problème, le alimentation ne s'allume plus complètement.",Electronique
Erreur détectée : raccord fuit.,Hydraulique
"impossible d'utiliser la machine, le viseur ne fait plus le point.",Optique
Il semble que le circuit d'huile est grippé depuis ce matin.,Hydraulique
erreur détectée : bouton power a fondu.,Electronique
Erreur détectée : linux demande un mot de passe.,Software
"J'ai un problème, le raccord est bouché complètement.",Hydraulique
défaut sur tuyau : il perd de la pression.,Hydraulique
Le circuit imprimé fait des étincelles.,Electronique
le raccord refoule du liquide.,Hydraulique
Le client signale que le obturateur manque de netteté.,Optique
il semble que le tuyau n'aspire plus depuis ce matin.,Hydraulique
Erreur détectée : réservoir est percé.,Hydraulique
Défaut sur circuit imprimé : il a fondu.,Electronique
Panne critique : LED ne charge pas.,Electronique
Il semble que le objectif ne fait plus le point depuis ce matin.,Optique
erreur détectée : objectif a des taches.,Optique
"attention, licence qui a crashé !",Software
Défaut sur miroir : il ne fait plus le point.,Optique
"Gros souci avec le valve, il est percé.",Hydraulique
Le client signale que le serveur demande un mot de passe.,Software
Le carte mère sent le brûlé.,Electronique
Le client signale que le mise au point est cassé.,Optique
Il semble que le obturateur a des taches depuis ce matin.,Optique
"j'ai un problème, le bouton power est noirci complètement.",Electronique
"Gros souci avec le mise au point, il est bloqué.",Optique
Le application ne démarre pas.,Software
Défaut sur carte mère : il ne charge pas.,Electronique
Panne critique : objectif ne fait plus le point.,Optique
Erreur détectée : image est rayé.,Optique
Il semble que le vérin est percé depuis ce matin.,Hydraulique
Erreur détectée : linux a expiré.,Software
le client signale que le transformateur ne répond plus.,Electronique
"Attention, base de données qui boucle à l'infini !",Software
le client signale que le led fait des étincelles.,Electronique
Panne critique : connexion a planté.,Software
panne critique : circuit d'huile fuit.,Hydraulique
"gros souci avec le miroir, il est sale.",Optique
défaut sur mise au point : il est voilé.,Optique
"Attention, objectif qui manque de netteté !",Optique
"j'ai un problème, le lentille a des taches complètement.",Optique
"J'ai un problème, le viseur est désaligné complètement.",Optique
Le client signale que le pompe vibre énormément.,Hydraulique
il semble que le disjoncteur surchauffe depuis ce matin.,Electronique
"Attention, vérin qui n'aspire plus !",Hydraulique
"gros souci avec le vérin, il fuit.",Hydraulique
"j'ai un problème, le piston est percé complètement.",Hydraulique
"attention, câble usb qui a fondu !",Electronique
panne critique : base de données a crashé.,Software
"attention, miroir qui est rayé !",Optique
Panne critique : disjoncteur a explosé.,Electronique
"impossible d'utiliser la machine, le système est figé.",Software
Le client signale que le batterie surchauffe.,Electronique
"Impossible d'utiliser la machine, le réservoir fuit.",Hydraulique
Erreur détectée : serveur affiche un écran bleu.,Software
"attention, valve qui fuit !",Hydraulique
le client signale que le zoom est rayé.,Optique
"attention, valve qui est bouché !",Hydraulique
Erreur détectée : bouton power sent le brûlé.,Electronique
Erreur détectée : image est déformé.,Optique
le client signale que le base de données a crashé.,Software
Erreur détectée : circuit imprimé surchauffe.,Electronique
Panne critique : lentille est cassé.,Optique
Le client signale que le linux est lent.,Software
le client signale que le windows est lent.,Software
panne critique : connexion renvoie une erreur 404.,Software
Défaut sur LED : il fume.,Electronique
panne critique : obturateur ne fait plus le point.,Optique
le circuit d'huile siffle fort.,Hydraulique
"Gros souci avec le mise au point, il a de la poussière interne.",Optique
"Impossible d'utiliser la machine, le vérin est sec.",Hydraulique
le client signale que le viseur a des taches.,Optique
Il semble que le pompe siffle fort depuis ce matin.,Hydraulique
"gros souci avec le image, il a des taches.",Optique
"gros souci avec le connexion, il boucle à l'infini.",Software
erreur détectée : mise à jour a crashé.,Software
"Attention, réservoir qui est bouché !",Hydraulique
le batterie clignote en rouge.,Electronique
Le disjoncteur ne répond plus.,Electronique
Erreur détectée : transformateur ne répond plus.,Electronique
"J'ai un problème, le prisme a des taches complètement.",Optique
"impossible d'utiliser la machine, le manomètre vibre énormément.",Hydraulique
Le circuit d'huile vibre énormément.,Hydraulique
le client signale que le câble usb fait des étincelles.,Electronique
"gros souci avec le câble usb, il ne s'allume plus.",Electronique
le client signale que le condensateur a explosé.,Electronique
Il semble que le zoom est sale depuis ce matin.,Optique
Erreur détectée : condensateur surchauffe.,Electronique
"J'ai un problème, le mise au point est voilé complètement.",Optique
Il semble que le carte mère sent le brûlé depuis ce matin.,Electronique
Le objectif est sale.,Optique
"attention, écran qui a explosé !",Electronique
il semble que le vanne fait un bruit de gargouillis depuis ce matin.,Hydraulique
défaut sur manomètre : il refoule du liquide.,Hydraulique
le logiciel est lent.,Software
"gros souci avec le interface, il est corrompu.",Software
défaut sur diaphragme : il est bloqué.,Optique
"J'ai un problème, le logiciel a crashé complètement.",Software
le système affiche un écran bleu.,Software
Erreur détectée : circuit d'huile n'aspire plus.,Hydraulique
défaut sur miroir : il est cassé.,Optique
Le client signale que le vanne n'aspire plus.,Hydraulique
il semble que le capteur a de la poussière interne depuis ce matin.,Optique
erreur détectée : disjoncteur a grillé.,Electronique
le client signale que le mise au point est voilé.,Optique
le écran ne répond plus.,Electronique
Panne critique : capteur est sale.,Optique
erreur détectée : lentille est désaligné.,Optique
défaut sur câble usb : il fait des étincelles.,Electronique
"Gros souci avec le circuit d'huile, il n'aspire plus.",Hydraulique
"Attention, application qui boucle à l'infini !",Software
le client signale que le viseur ne fait plus le point.,Optique
Défaut sur vanne : il est sec.,Hydraulique
"Gros souci avec le mise au point, il est désaligné.",Optique
il semble que le bouton power clignote en rouge depuis ce matin.,Electronique
erreur détectée : fusible est brûlant.,Electronique
erreur détectée : alimentation ne charge pas.,Electronique
Il semble que le carte mère surchauffe depuis ce matin.,Electronique
le client signale que le mise à jour a crashé.,Software
erreur détectée : bouton power ne s'allume plus.,Electronique
Le objectif est flou.,Optique
Panne critique : manomètre siffle fort.,Hydraulique
Erreur détectée : pompe est grippé.,Hydraulique
"j'ai un problème, le vérin est bouché complètement.",Hydraulique
"Attention, carte mère qui a explosé !",Electronique
Le client signale que le viseur est flou.,Optique
"attention, tuyau qui a éclaté !",Hydraulique
panne critique : mise au point est voilé.,Optique
"Attention, système qui affiche un écran bleu !",Software
Panne critique : objectif est cassé.,Optique
"Gros souci avec le connexion, il ne répond pas.",Software
"Attention, mise au point qui a des taches !",Optique
Il semble que le obturateur est cassé depuis ce matin.,Optique
"attention, disjoncteur qui a fondu !",Electronique
Le prisme est déformé.,Optique
Il semble que le vérin perd de la pression depuis ce matin.,Hydraulique
erreur détectée : fusible fait des étincelles.,Electronique
Le logiciel affiche un écran bleu.,Software
Défaut sur windows : il boucle à l'infini.,Software
Panne critique : transformateur ne charge pas.,Electronique
défaut sur condensateur : il ne s'allume plus.,Electronique
Le client signale que le diaphragme est cassé.,Optique
"Impossible d'utiliser la machine, le condensateur fait des étincelles.",Electronique
"impossible d'utiliser la machine, le objectif a des taches.",Optique
"Gros souci avec le vanne, il est bouché.",Hydraulique
Le client signale que le pompe est sec.,Hydraulique
"gros souci avec le viseur, il est désaligné.",Optique
le capteur est cassé.,Optique
défaut sur capteur : il a des taches.,Optique
panne critique : serveur a planté.,Software
le bouton power est brûlant.,Electronique
Défaut sur serveur : il ne répond pas.,Software
"j'ai un problème, le tuyau siffle fort complètement.",Hydraulique
"Attention, transformateur qui sent le brûlé !",Electronique
erreur détectée : bouton power ne charge pas.,Electronique
Erreur détectée : windows a planté.,Software
Il semble que le mise à jour boucle à l'infini depuis ce matin.,Software
défaut sur pompe : il siffle fort.,Hydraulique
"j'ai un problème, le vanne refoule du liquide complètement.",Hydraulique
"Attention, pompe qui a éclaté !",Hydraulique
défaut sur connexion : il renvoie une erreur 404.,Software
il semble que le interface ne répond pas depuis ce matin.,Software
"impossible d'utiliser la machine, le logiciel demande un mot de passe.",Software
"attention, obturateur qui est désaligné !",Optique
Panne critique : joint est grippé.,Hydraulique
"Attention, connexion qui est lent !",Software
Défaut sur base de données : il affiche un écran bleu.,Software
"J'ai un problème, le LED ne charge pas complètement.",Electronique
Le client signale que le piston est grippé.,Hydraulique
il semble que le valve refoule du liquide depuis ce matin.,Hydraulique
"J'ai un problème, le capteur a de la poussière interne complètement.",Optique
Panne critique : fusible clignote en rouge.,Electronique
"gros souci avec le prisme, il est bloqué.",Optique
erreur détectée : manomètre refoule du liquide.,Hydraulique
le zoom est voilé.,Optique
"impossible d'utiliser la machine, le piston est sec.",Hydraulique
"attention, diaphragme qui est voilé !",Optique
"J'ai un problème, le interface renvoie une erreur 404 complètement.",Software
Défaut sur capteur : il a de la poussière interne.,Optique
"J'ai un problème, le capteur a des taches complètement.",Optique
le zoom est cassé.,Optique
"j'ai un problème, le diaphragme est bloqué complètement.",Optique
"Impossible d'utiliser la machine, le piston est sec.",Hydraulique
erreur détectée : câble usb a explosé.,Electronique
"Impossible d'utiliser la machine, le valve est percé.",Hydraulique
Panne critique : objectif est déformé.,Optique
Il semble que le base de données a crashé depuis ce matin.,Software
"gros souci avec le obturateur, il est déformé.",Optique
Erreur détectée : image a de la poussière interne.,Optique
"gros souci avec le driver, il a expiré.",Software
le réservoir est sec.,Hydraulique
Le pompe est percé.,Hydraulique
Le mise au point est cassé.,Optique
Il semble que le réservoir est grippé depuis ce matin.,Hydraulique
Erreur détectée : prisme est cassé.,Optique
défaut sur carte mère : il a explosé.,Electronique
"Gros souci avec le image, il ne fait plus le point.",Optique
"J'ai un problème, le écran est en court-circuit complètement.",Electronique
"impossible d'utiliser la machine, le prisme est flou.",Optique
"J'ai un problème, le mise au point a de la poussière interne complètement.",Optique
Le client signale que le miroir est sale.,Optique
Erreur détectée : connecteur de charge fume.,Electronique
Il semble que le valve perd de la pression depuis ce matin.,Hydraulique
Panne critique : driver a expiré.,Software
le capteur manque de netteté.,Optique
Erreur détectée : connexion est figé.,Software
panne critique : fusible a explosé.,Electronique
"gros souci avec le logiciel, il affiche un écran bleu.",Software
erreur détectée : interface a crashé.,Software
"Attention, prisme qui est déformé !",Optique
"Gros souci avec le application, il est corrompu.",Software
Erreur détectée : filtre est sec.,Hydraulique
le client signale que le obturateur a des taches.,Optique
"attention, filtre qui est sec !",Hydraulique
le client signale que le zoom manque de netteté.,Optique
"j'ai un problème, le windows a expiré complètement.",Software
panne critique : condensateur a grillé.,Electronique
"Impossible d'utiliser la machine, le fusible a grillé.",Electronique
Il semble que le mise au point est voilé depuis ce matin.,Optique
le client signale que le logiciel a planté.,Software
"J'ai un problème, le miroir manque de netteté complètement.",Optique
"gros souci avec le driver, il a planté.",Software
"Impossible d'utiliser la machine, le condensateur a grillé.",Electronique
panne critique : linux est figé.,Software
"attention, tuyau qui fuit !",Hydraulique
"J'ai un problème, le focus ne fait plus le point complètement.",Optique
"j'ai un problème, le miroir est rayé complètement.",Optique
Le client signale que le bouton power sent le brûlé.,Electronique
"j'ai un problème, le connexion demande un mot de passe complètement.",Software
"Impossible d'utiliser la machine, le valve siffle fort.",Hydraulique
défaut sur connexion : il ne répond pas.,Software
Panne critique : tuyau est sec.,Hydraulique
